ku,data_a,data_b
北区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-01_jyu-ki(kita).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-01_jyu-ki(kita).csv"
都島区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-02_jyu-ki(miyakojima).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-02_jyu-ki(miyakojima).csv"
福島区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-03_jyu-ki(fukushima).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-03_jyu-ki(fukushima).csv"
此花区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-04_jyu-ki(konohana).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-04_jyu-ki(konohana).csv"
中央区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-05_jyu-ki(cyu-ou).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-05_jyu-ki(chu-o-).csv"
西区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-06_jyu-ki(nishi).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-06_jyu-ki(nishi).csv"
港区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-07_jyu-ki(minato).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-07_jyu-ki(minato).csv"
大正区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-08_jyu-ki(taisyou).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-08_jyu-ki(taisho).csv"
天王寺区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-09_jyu-ki(tennouji).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-09_jyu-ki(tennoji).csv"
浪速区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-10_jyu-ki(naniwa).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-10_jyu-ki(naniwa).csv"
西淀川区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-11_jyu-ki(nishiyodogawa).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-11_jyu-ki(nishiyodogawa).csv"
淀川区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-12_jyu-ki(yodogawa).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-12_jyu-ki(yodogawa).csv"
東淀川区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-13_jyu-ki(higashiyodogawa).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-13_jyu-ki(higashiyodogawa).csv"
東成区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-14_jyu-ki(higashinari).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-14_jyu-ki(higashinari).csv"
生野区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-15_jyu-ki(ikuno).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-15_jyu-ki(ikuno).csv"
旭区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-16_jyu-ki(asahi).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-16_jyu-ki(asahi).csv"
城東区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-17_jyu-ki(jyoutou).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-17_jyu-ki(joto).csv"
鶴見区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-18_jyu-ki(turumi).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-18_jyu-ki(tsurumi).csv"
阿倍野区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-19_jyu-ki(abeno).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-19_jyu-ki(abeno).csv"
住之江区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-20_jyu-ki(suminoe).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-20_jyu-ki(suminoe).csv"
住吉区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-21_jyu-ki(sumiyoshi).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-21_jyu-ki(sumiyoshi).csv"
東住吉区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-22_jyu-ki(higashisumiyoshi).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-22_jyu-ki(higashisumiyoshi).csv"
平野区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-23_jyu-ki(hirano).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-23_jyu-ki(hirano).csv"
西成区,"https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(2303)02-24_jyu-ki(nishinari).csv","https://www.city.osaka.lg.jp/shimin/cmsfiles/contents/0000006/6893/(0303)02-24_jyu-ki(nishinari).csv"
